"Group Name","Category Name","Category Status","Sub Categories","Sub Category Status"
"Educational lab Equipment","Biology Lab Equipment",Active,"Botany Models",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Dissecting Equipments",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Educational Charts",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Environmental Instruments",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Human Anatomy Model -",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Microtomes And Staining",Active
"Educational lab Equipment","Biology Lab Equipment",Active,"Zoology Models",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Basins And Crucibles",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,Burners,Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Chemistry Equipments",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Chemistry Lab Safety Equipments",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Cork And Tubing",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Filter Papers",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Gas Preparation",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Laboratory Brushes",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Laboratory Instruments",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Laboratory Spatulas Manufacturer",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Retort Stand",Active
"Educational lab Equipment","Chemistry Lab Equipment in India",Active,"Test Tubes Stands",Active
"Educational lab Equipment","Interactive WhiteBoard",Active,,
"Educational lab Equipment","Laboratory Glassware",Active,Adapters,Active
"Educational lab Equipment","Laboratory Glassware",Active,Beakers,Active
"Educational lab Equipment","Laboratory Glassware",Active,Burette,Active
"Educational lab Equipment","Laboratory Glassware",Active,"Centrifuge Tubes",Active
"Educational lab Equipment","Laboratory Glassware",Active,Condensers,Active
"Educational lab Equipment","Laboratory Glassware",Active,Flasks,Active
"Educational lab Equipment","Laboratory Glassware",Active,"Fractionating Columns",Active
"Educational lab Equipment","Laboratory Glassware",Active,"Glass Bottle",Active
"Educational lab Equipment","Laboratory Glassware",Active,"Standard Joints",Active
"Educational lab Equipment","Laboratory Glassware",Active,Stoppers,Active
"Educational lab Equipment","Laboratory Microscope",Active,"Binocular Microscopes",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Elementary Microscopes ",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Fluorescence Microscopes",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Laboratory Microscope  glassware equipment",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Laboratory Microscopes ",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Metallurgical Microscope",Active
"Educational lab Equipment","Laboratory Microscope",Active,Microscope,Active
"Educational lab Equipment","Laboratory Microscope",Active,"Microscope Accessories",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Projection Microscope",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Research Microscopes",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Stereo Microscopes",Active
"Educational lab Equipment","Laboratory Microscope",Active,"Student Microscopes",Active
"Educational lab Equipment","Laboratory Microscope",Active,Telescope,Active
"Educational lab Equipment","Mathematics Lab Instruments",Active,"Base Ten Block",Active
"Educational lab Equipment","Mathematics Lab Instruments",Active,"Geometric Shapes",Active
"Educational lab Equipment","Mathematics Lab Instruments",Active,"Mathematics Kit Manufacturers",Active
"Educational lab Equipment","Mathematics Lab Instruments",Active,"Maths Wooden Products",Active
"Educational lab Equipment","Physics Lab Equipment",Active,"Electrical Instruments",Active
"Educational lab Equipment","Physics Lab Equipment",Active,"Electricity Laboratory Instruments",Active
"Educational lab Equipment","Physics Lab Equipment",Active,"Electronics Instruments",Active
